Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn);Snødybde
Ytre Holmebukt;SN91080;09.01.2006;0;-
Ytre Holmebukt;SN91080;10.01.2006;0;-
Ytre Holmebukt;SN91080;11.01.2006;0,2;-
Ytre Holmebukt;SN91080;12.01.2006;0;-
Ytre Holmebukt;SN91080;13.01.2006;1,2;-
Ytre Holmebukt;SN91080;14.01.2006;1,5;-
Ytre Holmebukt;SN91080;15.01.2006;10,2;-
Ytre Holmebukt;SN91080;16.01.2006;0;-
Ytre Holmebukt;SN91080;17.01.2006;0;-
Ytre Holmebukt;SN91080;18.01.2006;0;-
Ytre Holmebukt;SN91080;19.01.2006;0;-
Ytre Holmebukt;SN91080;20.01.2006;0;-
Ytre Holmebukt;SN91080;21.01.2006;0;-
Ytre Holmebukt;SN91080;22.01.2006;0,7;-
Ytre Holmebukt;SN91080;23.01.2006;9,3;-
Ytre Holmebukt;SN91080;24.01.2006;16,5;-
Ytre Holmebukt;SN91080;25.01.2006;1,4;5
Ytre Holmebukt;SN91080;26.01.2006;27,1;0
Ytre Holmebukt;SN91080;27.01.2006;23,7;-
Ytre Holmebukt;SN91080;28.01.2006;2,9;-
Ytre Holmebukt;SN91080;29.01.2006;16,5;25
Ytre Holmebukt;SN91080;30.01.2006;9,2;32
Ytre Holmebukt;SN91080;31.01.2006;2;30
Ytre Holmebukt;SN91080;01.02.2006;1,6;22
