Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn)
Tromsø Plu;SN90451;01.12.2012;0
Tromsø Plu;SN90451;02.12.2012;0
Tromsø Plu;SN90451;03.12.2012;0,1
Tromsø Plu;SN90451;04.12.2012;0
Tromsø Plu;SN90451;05.12.2012;0
Tromsø Plu;SN90451;06.12.2012;0
Tromsø Plu;SN90451;07.12.2012;0
Tromsø Plu;SN90451;08.12.2012;0
Tromsø Plu;SN90451;09.12.2012;0
Tromsø Plu;SN90451;10.12.2012;0
Tromsø Plu;SN90451;11.12.2012;0
Tromsø Plu;SN90451;12.12.2012;0
Tromsø Plu;SN90451;13.12.2012;0
Tromsø Plu;SN90451;14.12.2012;0,3
Tromsø Plu;SN90451;15.12.2012;0
Tromsø Plu;SN90451;16.12.2012;0
Tromsø Plu;SN90451;17.12.2012;0
Tromsø Plu;SN90451;18.12.2012;0
Tromsø Plu;SN90451;19.12.2012;0
Tromsø Plu;SN90451;21.12.2012;0
Tromsø Plu;SN90451;22.12.2012;0
Tromsø Plu;SN90451;23.12.2012;0
Tromsø Plu;SN90451;25.12.2012;0
Tromsø Plu;SN90451;26.12.2012;0,1
Tromsø Plu;SN90451;27.12.2012;0,1
Tromsø Plu;SN90451;28.12.2012;0
Tromsø Plu;SN90451;29.12.2012;4,4
Tromsø Plu;SN90451;30.12.2012;0
Tromsø Plu;SN90451;31.12.2012;0
Tromsø Plu;SN90451;01.01.2013;0
Tromsø Plu;SN90451;02.01.2013;0
Tromsø Plu;SN90451;03.01.2013;0
Tromsø Plu;SN90451;04.01.2013;0
Tromsø Plu;SN90451;05.01.2013;8,9
Tromsø Plu;SN90451;06.01.2013;0
Tromsø Plu;SN90451;07.01.2013;6,4
Tromsø Plu;SN90451;08.01.2013;0
Tromsø Plu;SN90451;09.01.2013;17,1
Tromsø Plu;SN90451;10.01.2013;4,9
Tromsø Plu;SN90451;13.01.2013;2,1
Tromsø Plu;SN90451;14.01.2013;1,6
Tromsø Plu;SN90451;15.01.2013;8,4
Tromsø Plu;SN90451;16.01.2013;0
Tromsø Plu;SN90451;17.01.2013;0
Tromsø Plu;SN90451;18.01.2013;4,1
Tromsø Plu;SN90451;19.01.2013;7,7
Tromsø Plu;SN90451;20.01.2013;2,9
Tromsø Plu;SN90451;21.01.2013;5,2
Tromsø Plu;SN90451;22.01.2013;9,1
Tromsø Plu;SN90451;23.01.2013;7,1
Tromsø Plu;SN90451;24.01.2013;4,9
Tromsø Plu;SN90451;25.01.2013;4,5
Tromsø Plu;SN90451;26.01.2013;0,1
Tromsø Plu;SN90451;27.01.2013;0
Tromsø Plu;SN90451;28.01.2013;0
Tromsø Plu;SN90451;29.01.2013;0
Tromsø Plu;SN90451;30.01.2013;0,9
Tromsø Plu;SN90451;01.02.2013;0
Tromsø Plu;SN90451;03.02.2013;0
Tromsø Plu;SN90451;04.02.2013;0
Tromsø Plu;SN90451;06.02.2013;0
Tromsø Plu;SN90451;07.02.2013;0
Tromsø Plu;SN90451;08.02.2013;0
Tromsø Plu;SN90451;09.02.2013;0
Tromsø Plu;SN90451;14.02.2013;0
Tromsø Plu;SN90451;19.02.2013;0
Tromsø Plu;SN90451;20.02.2013;0
Tromsø Plu;SN90451;24.02.2013;30,4
Tromsø Plu;SN90451;25.02.2013;15,2
Tromsø Plu;SN90451;28.02.2013;19,8
Tromsø Plu;SN90451;01.03.2013;0,7
Tromsø Plu;SN90451;04.03.2013;0,1
Tromsø Plu;SN90451;05.03.2013;0,5
Tromsø Plu;SN90451;06.03.2013;0,2
Tromsø Plu;SN90451;10.03.2013;6,1
Tromsø Plu;SN90451;11.03.2013;1,6
Tromsø Plu;SN90451;12.03.2013;1,6
Tromsø Plu;SN90451;13.03.2013;1,3
Tromsø Plu;SN90451;15.03.2013;2
Tromsø Plu;SN90451;16.03.2013;0
Tromsø Plu;SN90451;18.03.2013;0
Tromsø Plu;SN90451;19.03.2013;0
Tromsø Plu;SN90451;20.03.2013;0
Tromsø Plu;SN90451;21.03.2013;0
Tromsø Plu;SN90451;23.03.2013;1,9
Tromsø Plu;SN90451;25.03.2013;5,1
Tromsø Plu;SN90451;26.03.2013;2,9
Tromsø Plu;SN90451;28.03.2013;4,4
Tromsø Plu;SN90451;31.03.2013;4
Tromsø Plu;SN90451;04.04.2013;2,9
Tromsø Plu;SN90451;05.04.2013;0,1
Tromsø Plu;SN90451;08.04.2013;2,5
Tromsø Plu;SN90451;09.04.2013;0,2
Tromsø Plu;SN90451;10.04.2013;1,2
Tromsø Plu;SN90451;11.04.2013;0,2
Tromsø Plu;SN90451;12.04.2013;0
Tromsø Plu;SN90451;15.04.2013;0
Tromsø Plu;SN90451;16.04.2013;0,5
Tromsø Plu;SN90451;20.04.2013;7,4
Tromsø Plu;SN90451;21.04.2013;0,3
Tromsø Plu;SN90451;22.04.2013;0,3
Tromsø Plu;SN90451;23.04.2013;0
Tromsø Plu;SN90451;24.04.2013;0
Tromsø Plu;SN90451;25.04.2013;0
Tromsø Plu;SN90451;30.04.2013;0
Tromsø Plu;SN90451;02.05.2013;0
Tromsø Plu;SN90451;03.05.2013;0
Tromsø Plu;SN90451;06.05.2013;0,1
Tromsø Plu;SN90451;08.05.2013;6,3
Tromsø Plu;SN90451;10.05.2013;0
Tromsø Plu;SN90451;12.05.2013;0
Tromsø Plu;SN90451;13.05.2013;0
Tromsø Plu;SN90451;14.05.2013;0,8
Tromsø Plu;SN90451;15.05.2013;0
Tromsø Plu;SN90451;23.05.2013;0
Tromsø Plu;SN90451;24.05.2013;0
Tromsø Plu;SN90451;29.05.2013;0
Tromsø Plu;SN90451;30.05.2013;0
Tromsø Plu;SN90451;01.06.2013;0
Tromsø Plu;SN90451;08.06.2013;4,4
Tromsø Plu;SN90451;09.06.2013;1,2
Tromsø Plu;SN90451;11.06.2013;1,4
Tromsø Plu;SN90451;12.06.2013;0,4
Tromsø Plu;SN90451;13.06.2013;0,2
Tromsø Plu;SN90451;14.06.2013;0
Tromsø Plu;SN90451;20.06.2013;0,4
Tromsø Plu;SN90451;24.06.2013;4,2
Tromsø Plu;SN90451;26.06.2013;12,2
Tromsø Plu;SN90451;29.06.2013;0
Tromsø Plu;SN90451;02.07.2013;1,6
Tromsø Plu;SN90451;04.07.2013;1
