Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn);Snødybde
Ullsfjord;SN91100;07.02.1958;0;38
Ullsfjord;SN91100;08.02.1958;0;38
Ullsfjord;SN91100;09.02.1958;0;38
Ullsfjord;SN91100;10.02.1958;0,3;37
Ullsfjord;SN91100;11.02.1958;3,1;46
Ullsfjord;SN91100;12.02.1958;0;44
Ullsfjord;SN91100;13.02.1958;0;44
Ullsfjord;SN91100;14.02.1958;0,6;44
Ullsfjord;SN91100;15.02.1958;4,7;41
Ullsfjord;SN91100;16.02.1958;0,2;41
Ullsfjord;SN91100;17.02.1958;0;41
Ullsfjord;SN91100;18.02.1958;0,3;42
Ullsfjord;SN91100;19.02.1958;2,3;45
Ullsfjord;SN91100;20.02.1958;12,2;68
Ullsfjord;SN91100;21.02.1958;0;65
Ullsfjord;SN91100;22.02.1958;0;60
Ullsfjord;SN91100;23.02.1958;0;58
Ullsfjord;SN91100;24.02.1958;0;57
Ullsfjord;SN91100;25.02.1958;0;55
Ullsfjord;SN91100;26.02.1958;0;54
Ullsfjord;SN91100;27.02.1958;0;54
Ullsfjord;SN91100;28.02.1958;0;53
Ullsfjord;SN91100;01.03.1958;0;53
Ullsfjord;SN91100;02.03.1958;0,5;54
Ullsfjord;SN91100;03.03.1958;0;53
Ullsfjord;SN91100;04.03.1958;0;53
Ullsfjord;SN91100;05.03.1958;4,6;63
Ullsfjord;SN91100;06.03.1958;0;63
Ullsfjord;SN91100;07.03.1958;1,2;65
Ullsfjord;SN91100;08.03.1958;1,6;65
Ullsfjord;SN91100;09.03.1958;1,4;66
Ullsfjord;SN91100;10.03.1958;0;65
Ullsfjord;SN91100;11.03.1958;0;65
Ullsfjord;SN91100;12.03.1958;0;64
Ullsfjord;SN91100;13.03.1958;0;63
Ullsfjord;SN91100;14.03.1958;0;62
Ullsfjord;SN91100;15.03.1958;0;61
Ullsfjord;SN91100;16.03.1958;0;61
Ullsfjord;SN91100;17.03.1958;0;61
Ullsfjord;SN91100;18.03.1958;0;61
Ullsfjord;SN91100;19.03.1958;0;61
Ullsfjord;SN91100;20.03.1958;0;61
Ullsfjord;SN91100;21.03.1958;2,1;60
Ullsfjord;SN91100;22.03.1958;3,3;58
Ullsfjord;SN91100;23.03.1958;18,9;84
Ullsfjord;SN91100;24.03.1958;3,8;87
Ullsfjord;SN91100;25.03.1958;3,9;87
Ullsfjord;SN91100;26.03.1958;0,5;83
Ullsfjord;SN91100;27.03.1958;0,6;82
Ullsfjord;SN91100;28.03.1958;2,6;85
Ullsfjord;SN91100;29.03.1958;5;87
Ullsfjord;SN91100;30.03.1958;2,1;80
Ullsfjord;SN91100;31.03.1958;0,8;75
Ullsfjord;SN91100;01.04.1958;0;74
Ullsfjord;SN91100;02.04.1958;0;74
Ullsfjord;SN91100;03.04.1958;0;74
Ullsfjord;SN91100;04.04.1958;0,2;73
Ullsfjord;SN91100;05.04.1958;7,5;70
Ullsfjord;SN91100;06.04.1958;0,5;70
Ullsfjord;SN91100;07.04.1958;4,5;78
Ullsfjord;SN91100;08.04.1958;0;75
Ullsfjord;SN91100;09.04.1958;5,2;85
Ullsfjord;SN91100;10.04.1958;4,1;87
Ullsfjord;SN91100;11.04.1958;8,7;75
Ullsfjord;SN91100;12.04.1958;1,1;75
Ullsfjord;SN91100;13.04.1958;1,6;75
Ullsfjord;SN91100;14.04.1958;0;74
Ullsfjord;SN91100;15.04.1958;0;74
Ullsfjord;SN91100;16.04.1958;0;74
Ullsfjord;SN91100;17.04.1958;0;74
Ullsfjord;SN91100;18.04.1958;0;74
Ullsfjord;SN91100;19.04.1958;0;74
Ullsfjord;SN91100;20.04.1958;0;74
Ullsfjord;SN91100;21.04.1958;0;73
Ullsfjord;SN91100;22.04.1958;0;72
