Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn);Snødybde
Lyfjord;SN90570;24.04.1980;3,9;2
Lyfjord;SN90570;25.04.1980;4,3;10
Lyfjord;SN90570;26.04.1980;0;0
Lyfjord;SN90570;27.04.1980;3,6;0
Lyfjord;SN90570;28.04.1980;0;0
Lyfjord;SN90570;29.04.1980;0;0
Lyfjord;SN90570;30.04.1980;1,9;0
Lyfjord;SN90570;01.05.1980;2;0
Lyfjord;SN90570;02.05.1980;21,9;0
Lyfjord;SN90570;03.05.1980;0;0
Lyfjord;SN90570;04.05.1980;0,5;0
Lyfjord;SN90570;05.05.1980;6;0
Lyfjord;SN90570;06.05.1980;5,6;0
Lyfjord;SN90570;07.05.1980;0;0
Lyfjord;SN90570;08.05.1980;0;0
Lyfjord;SN90570;09.05.1980;0;0
Lyfjord;SN90570;10.05.1980;0;0
Lyfjord;SN90570;11.05.1980;6,5;9
Lyfjord;SN90570;12.05.1980;4,5;7
Lyfjord;SN90570;13.05.1980;1,3;5
Lyfjord;SN90570;14.05.1980;0;0
Lyfjord;SN90570;15.05.1980;0;0
Lyfjord;SN90570;16.05.1980;0,4;0
Lyfjord;SN90570;17.05.1980;0;0
Lyfjord;SN90570;18.05.1980;6,7;0
Lyfjord;SN90570;19.05.1980;0;0
Lyfjord;SN90570;20.05.1980;0;0
Lyfjord;SN90570;21.05.1980;0;0
Lyfjord;SN90570;22.05.1980;0,6;0
Lyfjord;SN90570;23.05.1980;4,7;0
Lyfjord;SN90570;24.05.1980;0;0
Lyfjord;SN90570;25.05.1980;0;0
Lyfjord;SN90570;26.05.1980;0;0
Lyfjord;SN90570;27.05.1980;0;0
Lyfjord;SN90570;28.05.1980;0,6;0
Lyfjord;SN90570;29.05.1980;0;0
Lyfjord;SN90570;30.05.1980;0;0
Lyfjord;SN90570;31.05.1980;0;0
Lyfjord;SN90570;01.06.1980;0;0
Lyfjord;SN90570;02.06.1980;0;0
Lyfjord;SN90570;03.06.1980;6,8;0
Lyfjord;SN90570;04.06.1980;10,3;0
Lyfjord;SN90570;05.06.1980;0;0
Lyfjord;SN90570;06.06.1980;5,2;0
Lyfjord;SN90570;07.06.1980;0,5;0
Lyfjord;SN90570;08.06.1980;0;0
Lyfjord;SN90570;09.06.1980;6;0
Lyfjord;SN90570;10.06.1980;0;0
Lyfjord;SN90570;11.06.1980;6,2;0
Lyfjord;SN90570;12.06.1980;7,5;0
Lyfjord;SN90570;13.06.1980;11;0
Lyfjord;SN90570;14.06.1980;0;0
Lyfjord;SN90570;15.06.1980;0;0
Lyfjord;SN90570;16.06.1980;0;0
Lyfjord;SN90570;17.06.1980;0;0
Lyfjord;SN90570;18.06.1980;0;0
Lyfjord;SN90570;19.06.1980;0;0
Lyfjord;SN90570;20.06.1980;0;0
Lyfjord;SN90570;21.06.1980;0;0
Lyfjord;SN90570;22.06.1980;0;0
Lyfjord;SN90570;23.06.1980;8,4;0
Lyfjord;SN90570;24.06.1980;0,1;0
Lyfjord;SN90570;25.06.1980;0;0
Lyfjord;SN90570;26.06.1980;0;0
Lyfjord;SN90570;27.06.1980;0;0
Lyfjord;SN90570;28.06.1980;0;0
Lyfjord;SN90570;29.06.1980;0;0
Lyfjord;SN90570;30.06.1980;0;0
Lyfjord;SN90570;01.07.1980;0;0
Lyfjord;SN90570;02.07.1980;0;0
Lyfjord;SN90570;03.07.1980;0;0
Lyfjord;SN90570;04.07.1980;0;0
Lyfjord;SN90570;05.07.1980;0;0
Lyfjord;SN90570;06.07.1980;0;0
Lyfjord;SN90570;07.07.1980;0;0
Lyfjord;SN90570;08.07.1980;0;0
Lyfjord;SN90570;09.07.1980;0;0
Lyfjord;SN90570;10.07.1980;0;0
Lyfjord;SN90570;11.07.1980;0;0
Lyfjord;SN90570;12.07.1980;0,8;0
Lyfjord;SN90570;13.07.1980;0;0
Lyfjord;SN90570;14.07.1980;0;0
Lyfjord;SN90570;15.07.1980;0,5;0
Lyfjord;SN90570;16.07.1980;0;0
Lyfjord;SN90570;17.07.1980;0;0
Lyfjord;SN90570;18.07.1980;0;0
Lyfjord;SN90570;19.07.1980;0;0
Lyfjord;SN90570;20.07.1980;0;0
Lyfjord;SN90570;21.07.1980;0;0
Lyfjord;SN90570;22.07.1980;0;0
