Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn);Snødybde
Kvalsund - Simavik;SN90610;03.02.1977;0;66
Kvalsund - Simavik;SN90610;04.02.1977;0;66
Kvalsund - Simavik;SN90610;05.02.1977;0;66
Kvalsund - Simavik;SN90610;06.02.1977;0,3;66
Kvalsund - Simavik;SN90610;07.02.1977;0;66
Kvalsund - Simavik;SN90610;08.02.1977;0,5;66
Kvalsund - Simavik;SN90610;09.02.1977;2,6;69
Kvalsund - Simavik;SN90610;10.02.1977;4,4;72
Kvalsund - Simavik;SN90610;11.02.1977;7,4;85
Kvalsund - Simavik;SN90610;12.02.1977;2,8;88
Kvalsund - Simavik;SN90610;13.02.1977;5,9;84
Kvalsund - Simavik;SN90610;14.02.1977;2;90
Kvalsund - Simavik;SN90610;15.02.1977;5,4;94
Kvalsund - Simavik;SN90610;16.02.1977;4,3;94
Kvalsund - Simavik;SN90610;17.02.1977;0;90
Kvalsund - Simavik;SN90610;18.02.1977;5,2;92
Kvalsund - Simavik;SN90610;19.02.1977;0,7;90
Kvalsund - Simavik;SN90610;20.02.1977;0;88
Kvalsund - Simavik;SN90610;21.02.1977;0;87
Kvalsund - Simavik;SN90610;22.02.1977;0;86
Kvalsund - Simavik;SN90610;23.02.1977;1;86
Kvalsund - Simavik;SN90610;24.02.1977;2,2;87
Kvalsund - Simavik;SN90610;25.02.1977;0,1;86
Kvalsund - Simavik;SN90610;26.02.1977;6,7;90
Kvalsund - Simavik;SN90610;27.02.1977;5,3;99
Kvalsund - Simavik;SN90610;28.02.1977;3;99
Kvalsund - Simavik;SN90610;01.03.1977;3,6;101
Kvalsund - Simavik;SN90610;02.03.1977;0,3;99
Kvalsund - Simavik;SN90610;03.03.1977;4;102
Kvalsund - Simavik;SN90610;04.03.1977;0,4;101
Kvalsund - Simavik;SN90610;05.03.1977;5,2;104
Kvalsund - Simavik;SN90610;06.03.1977;4,9;106
Kvalsund - Simavik;SN90610;07.03.1977;9,7;115
Kvalsund - Simavik;SN90610;08.03.1977;6,1;117
Kvalsund - Simavik;SN90610;09.03.1977;5,9;120
Kvalsund - Simavik;SN90610;10.03.1977;13,1;128
Kvalsund - Simavik;SN90610;11.03.1977;9;97
Kvalsund - Simavik;SN90610;12.03.1977;11;89
Kvalsund - Simavik;SN90610;13.03.1977;1,1;80
Kvalsund - Simavik;SN90610;14.03.1977;12,1;77
Kvalsund - Simavik;SN90610;15.03.1977;0;77
Kvalsund - Simavik;SN90610;16.03.1977;0;76
Kvalsund - Simavik;SN90610;17.03.1977;0;74
Kvalsund - Simavik;SN90610;18.03.1977;0;74
Kvalsund - Simavik;SN90610;19.03.1977;0,3;69
Kvalsund - Simavik;SN90610;20.03.1977;5,6;69
Kvalsund - Simavik;SN90610;21.03.1977;3,7;76
Kvalsund - Simavik;SN90610;22.03.1977;5,6;80
Kvalsund - Simavik;SN90610;23.03.1977;0;80
Kvalsund - Simavik;SN90610;24.03.1977;7,8;76
Kvalsund - Simavik;SN90610;25.03.1977;3,7;74
Kvalsund - Simavik;SN90610;26.03.1977;0,9;74
Kvalsund - Simavik;SN90610;27.03.1977;9,6;79
Kvalsund - Simavik;SN90610;28.03.1977;3,5;92
Kvalsund - Simavik;SN90610;29.03.1977;0,2;90
Kvalsund - Simavik;SN90610;30.03.1977;0;90
Kvalsund - Simavik;SN90610;31.03.1977;3;91
Kvalsund - Simavik;SN90610;01.04.1977;10;75
Kvalsund - Simavik;SN90610;02.04.1977;4,2;77
Kvalsund - Simavik;SN90610;03.04.1977;3;78
Kvalsund - Simavik;SN90610;04.04.1977;1,8;82
Kvalsund - Simavik;SN90610;05.04.1977;0;82
Kvalsund - Simavik;SN90610;06.04.1977;1,3;83
Kvalsund - Simavik;SN90610;07.04.1977;0;83
Kvalsund - Simavik;SN90610;08.04.1977;0;83
Kvalsund - Simavik;SN90610;09.04.1977;0;83
Kvalsund - Simavik;SN90610;10.04.1977;0;83
Kvalsund - Simavik;SN90610;11.04.1977;0;80
Kvalsund - Simavik;SN90610;12.04.1977;0;80
Kvalsund - Simavik;SN90610;13.04.1977;1,5;76
Kvalsund - Simavik;SN90610;14.04.1977;0;74
Kvalsund - Simavik;SN90610;15.04.1977;0;70
Kvalsund - Simavik;SN90610;16.04.1977;17,7;69
Kvalsund - Simavik;SN90610;17.04.1977;0;68
Kvalsund - Simavik;SN90610;18.04.1977;0;68
Kvalsund - Simavik;SN90610;19.04.1977;0;68
Kvalsund - Simavik;SN90610;20.04.1977;1,5;71
Kvalsund - Simavik;SN90610;21.04.1977;0;70
Kvalsund - Simavik;SN90610;22.04.1977;0;69
Kvalsund - Simavik;SN90610;23.04.1977;3,9;72
Kvalsund - Simavik;SN90610;24.04.1977;0;72
Kvalsund - Simavik;SN90610;25.04.1977;0;72
Kvalsund - Simavik;SN90610;26.04.1977;0,5;70
Kvalsund - Simavik;SN90610;27.04.1977;0;69
Kvalsund - Simavik;SN90610;28.04.1977;0;67
Kvalsund - Simavik;SN90610;29.04.1977;0;65
Kvalsund - Simavik;SN90610;30.04.1977;12,9;65
Kvalsund - Simavik;SN90610;01.05.1977;1,9;65
Kvalsund - Simavik;SN90610;02.05.1977;3;66
Kvalsund - Simavik;SN90610;03.05.1977;5,2;64
Kvalsund - Simavik;SN90610;04.05.1977;0;59
Kvalsund - Simavik;SN90610;05.05.1977;1,4;55
Kvalsund - Simavik;SN90610;06.05.1977;0,1;50
Kvalsund - Simavik;SN90610;07.05.1977;0,2;50
Kvalsund - Simavik;SN90610;08.05.1977;3,6;52
Kvalsund - Simavik;SN90610;09.05.1977;0;51
Kvalsund - Simavik;SN90610;10.05.1977;0;49
Kvalsund - Simavik;SN90610;11.05.1977;0,4;47
Kvalsund - Simavik;SN90610;12.05.1977;2,5;47
Kvalsund - Simavik;SN90610;13.05.1977;0,2;45
Kvalsund - Simavik;SN90610;14.05.1977;0;42
Kvalsund - Simavik;SN90610;15.05.1977;0;39
Kvalsund - Simavik;SN90610;16.05.1977;6;35
Kvalsund - Simavik;SN90610;17.05.1977;2,4;32
Kvalsund - Simavik;SN90610;18.05.1977;0;30
Kvalsund - Simavik;SN90610;19.05.1977;0;28
Kvalsund - Simavik;SN90610;20.05.1977;0;24
Kvalsund - Simavik;SN90610;21.05.1977;4,5;21
Kvalsund - Simavik;SN90610;22.05.1977;6;18
Kvalsund - Simavik;SN90610;23.05.1977;7,9;6
Kvalsund - Simavik;SN90610;24.05.1977;6,3;2
Kvalsund - Simavik;SN90610;25.05.1977;2;0
Kvalsund - Simavik;SN90610;26.05.1977;1,2;0
Kvalsund - Simavik;SN90610;27.05.1977;2,1;0
Kvalsund - Simavik;SN90610;28.05.1977;8,2;0
Kvalsund - Simavik;SN90610;29.05.1977;4,3;0
Kvalsund - Simavik;SN90610;30.05.1977;3,5;0
Kvalsund - Simavik;SN90610;31.05.1977;0,1;0
